adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 PL DES DEUX MARES,30/12/2024,520000.0,78117,CHATEAUFORT,128.0,332.0,6.0,143,Maison,4062.5,1 PL DES DEUX MARES 78117 CHATEAUFORT,2.088585,48.738496,0.6840288311688312
1 PL DES GRES,12/07/2024,452000.0,75020,PARIS,50.0,0.0,1.0,120,Appartement,9040.0,1 PL DES GRES 75020 PARIS,2.405944,48.859101,0.801946883116883
1 PL DES ITALIENS,26/02/2024,185000.0,91300,MASSY,75.0,0.0,4.0,377,Appartement,2466.6666666666665,1 PL DES ITALIENS 91300 MASSY,2.287628,48.731511,0.8201318181818181
1 PL DES ITALIENS,27/08/2024,180000.0,91300,MASSY,75.0,0.0,4.0,377,Appartement,2400.0,1 PL DES ITALIENS 91300 MASSY,2.287628,48.731511,0.8201318181818181
1 PL DES MAGNOLIAS,17/07/2024,140000.0,77680,ROISSY-EN-BRIE,54.0,0.0,2.0,390,Appartement,2592.5925925925926,1 PL DES MAGNOLIAS 77680 ROISSY-EN-BRIE,2.664243,48.793082,0.8479267099567098
1 PL DES MARGUERITES,04/07/2024,243000.0,95500,GONESSE,84.0,281.0,5.0,277,Maison,2892.8571428571427,1 PL DES MARGUERITES 95500 GONESSE,2.429198,48.998069,0.8385198771498771
1 PL DES PEPINIERES,26/06/2024,208600.0,77500,CHELLES,86.0,0.0,4.0,108,Appartement,2425.5813953488373,1 PL DES PEPINIERES 77500 CHELLES,2.581405,48.884941,0.8336982828282828
1 PL DES PEPINIERES,27/08/2024,167130.0,77500,CHELLES,70.0,0.0,3.0,108,Appartement,2387.5714285714284,1 PL DES PEPINIERES 77500 CHELLES,2.581405,48.884941,0.8336982828282828
1 PL DES PEPINIERES,29/03/2024,150000.0,77500,CHELLES,70.0,0.0,3.0,108,Appartement,2142.8571428571427,1 PL DES PEPINIERES 77500 CHELLES,2.581405,48.884941,0.8336982828282828
1 PL DES PERCE NEIGES,01/10/2024,131000.0,77160,CHENOISE-CUCHARMOY,89.0,436.0,4.0,109,Maison,1471.9101123595506,1 PL DES PERCE NEIGES 77160 CHENOISE-CUCHARMOY,3.192769,48.612312,0.8058845454545454
1 PL DES VERNES,07/02/2024,202380.0,77500,CHELLES,80.0,0.0,4.0,108,Appartement,2529.75,1 PL DES VERNES 77500 CHELLES,2.580485,48.884014,0.8189290909090908
1 PL DIVISION LECLERC,06/03/2024,165000.0,77250,MORET-LOING-ET-ORVANNE,153.0,120.0,2.0,316,Maison,1078.4313725490197,1 PL DIVISION LECLERC 77250 MORET-LOING-ET-ORVANNE,2.821284,48.372514,0.7879802927580893
1 PL DU CHAMP AU BLE,19/08/2024,368900.0,77610,NEUFMOUTIERS-EN-BRIE,136.0,469.0,5.0,336,Maison,2712.5,1 PL DU CHAMP AU BLE 77610 NEUFMOUTIERS-EN-BRIE,2.831208,48.771485,0.8507027272727272
1 PL DU COMMERCE,27/06/2024,693750.0,75015,PARIS,78.0,0.0,3.0,115,Appartement,8894.23076923077,1 PL DU COMMERCE 75015 PARIS,2.291728,48.845444,0.8280078885630499
